KIMBER,Bimbo,Cemex,Inbursa,Alfa,ICA,Elektra
26.04,16.84,44.07996,9.29,18,2.622,52.4
26.00001,16.5,43.29991,9.21,17.88,2.634,52.6
25.76001,16.75,42.88998,8.92,17.42,2.592,51.8
25.5,16.5,43.35009,8.91,17.48,2.592,51.8
25.89999,16.61,43.89003,9.15,17.6,2.562,51.2
25.94001,17,45.19011,9.4,17.8,2.574,51.4
25.2,16.55,44.85006,9.19,17.7,2.574,51.4
25.79001,16.62,45.82998,9.19,18.04,2.58,51.6
26.00001,16.57,46.79996,9.15,18.05,2.49,49.8
26.00001,16.48,44.87991,9.12,17.83,2.34,46.8
25.98,16.49,45.7201,9.2,17.91,2.424,48.4
25.89999,16.74,45.45013,9.04,18.3,2.484,49.6
25.86999,16.52,44.95995,9.12,18.42,2.43,48.6
25.65,16.5,46.43006,9.37,18.79,2.46,49.2
25.74999,16.51,46.85015,9.31,18.59,2.43,48.6
26.00001,16.38,47.70981,9.25,18.65,2.412,48.2
26.15001,16.51,47.49998,9.28,18.75,2.394,47.8
27.18999,16.69,48.20994,9.76,18.99,2.382,47.6
26.61,16.67,47.40004,10.1,19.09,2.37,47.4
27.06,16.6,47.6501,9.8,19.15,2.442,48.8
27.27,16.5,46.43006,9.73,18.66,2.454,49
28.53999,17.03,46.27993,9.86,18.7,2.58,51.6
28.5,17.69,47.20015,10.17,19.23,2.61,52.2
28.41,18.1,46.80992,9.96,19.23,2.502,50
28.38,17.82,47.20015,9.9,19.15,2.412,48.2
27.92001,17.85,47.08983,9.97,19.24,2.4,48
27.68001,17.5,46.11985,9.91,19.54,2.34,46.8
27.87999,17.4,46.31021,10.2,20.73,2.364,47.2
27.9,17.37,46.16009,10.08,21.65,2.424,48.4
27.89001,17.6,46.5698,10.22,21.98,2.43,48.6
27.9,17.59,46.55985,10.21,21.7,2.43,48.6
27.95001,17.5,46.64984,10.16,20.95,2.352,47
27.86001,17.43,47.05003,10.3,21.15,2.352,47
27.84999,17.53,47.3001,10.26,20.95,2.352,47
27.9,17.48,47.20015,10.25,20.95,2.334,46.6
27.68001,17.49,47.14997,10.4,21.22,2.352,47
27.87999,17.52,47.91012,10.44,21.1,2.34,46.8
27.54999,17.61,48.17013,10.45,21.14,2.31,46.2
27.27,17.55,48.28998,10.53,21.1,2.25,45
26.79,17.5,47.82013,10.6,20.84,2.25,45
26.79999,17.5,47.51988,10.55,20.67,2.232,44.6
27.03999,17.62,48.18009,10.86,21.01,2.292,45.8
27.03999,17.55,48.08015,10.88,21,2.262,45.2
27.02001,17.3,47.53978,10.41,20.65,2.274,45.4
27.11001,17.25,47.96982,10.21,20.64,2.28,45.6
26.90001,17,48.35011,10.07,20.6,2.232,44.6
26.79999,16.75,48.80006,10.05,21.07,2.202,44
26.75001,16.8,49.11978,10.24,21.34,2.232,44.6
26.85,16.81,49.48017,10.5,21.54,2.262,45.2
26.73999,16.53,49.86998,10.3,21.79,2.262,45.2
26.46999,16.85,49.80984,10.6,21.91,2.262,45.2
25.50999,17,48.9199,10.5,21.27,2.274,45.4
24.99999,16.74,48.81001,10.42,21.65,2.25,45
24.99999,16.55,49.22015,10.63,21.6,2.172,43.4
25.47,16.51,50.13995,10.71,21.62,2.16,43.2
25.5,16.54,49.49012,10.85,21.7,2.1,42
25.29999,16.56,49.69,11.27,21.66,2.052,41
25.32,16.55,49.93012,11.16,21.87,2.052,41
25.28001,16.5,49.41008,10.92,21.96,2.07,41.4
25.10001,16.45,49.82022,11.01,23.52,2.04,40.8
25.11,16.5,49.31014,11.26,24.38,2.004,40
25.28001,16.75,49.84013,11.17,24.3,2.004,40
25.61001,16.24,49.88988,11.18,23.9,1.992,39.8
25.8,15.92,50.0201,11.18,23.62,2.034,40.6
26.34999,15.9,50.57994,11.2,24.24,2.1,42
26.36001,15.65,50.73007,11.2,23.84,2.064,41.2
26.15001,16.4,51.99987,11.35,23.99,2.082,41.6
25.29999,16.43,53.93982,11.3,24.73,2.1,42
24.99999,16.98,53.78018,11.27,25.22,2.082,41.6
25.26999,16.85,54.25998,11.31,26.2,2.094,41.8
25.11,16.73,54.29978,11.31,25.75,2.07,41.4
24.90999,16.8,54.10985,11.31,25.41,2.082,41.6
25.23999,16.5,53.6201,11.35,25.31,2.064,41.2
25.25001,17,53.72004,11.42,26.38,2.082,41.6
25.25001,16.77,54.0999,11.35,25.78,2.034,40.6
25.5,16.56,54.98984,11.35,25.95,2.01,40.2
25.5,16.52,54.89985,11.36,26.2,2.04,40.8
25.70001,17.04,55.14992,11.45,27.03,2.04,40.8
26.04999,17.19,55.81013,11.48,27.31,2.034,40.6
26.4,16.9,55.83998,11.5,27.04,1.992,39.8
26.37999,17.1,56.00005,11.5,27.02,2.004,40
26.43,17.16,57.50997,11.51,26.76,1.974,39.4
26.67,17.22,56.54994,11.49,27.23,1.974,39.4
26.73999,17.12,56.12984,11.73,27.4,2.004,40
27.05001,17.09,55.59986,11.5,26.85,2.022,40.4
27,17.01,56.12984,11.6,26.76,1.992,39.8
26.97,17,56.25012,11.6,26.82,1.992,39.8
26.97,17,56.140015,11.575,26.82,1.992,39.8
27,16.94,56.02991,11.55,27.3,1.98,39.6
26.97999,17,56.4699,11.89,27.49,2.004,40
26.94999,17.18,56.24017,11.8,27.3,2.004,40
26.64999,17,55.15987,11.67,27.19,2.004,40
26.7,16.87,54.80986,11.6,27.22,2.004,40
26.64,17.16,54.29978,11.62,26.86,1.98,39.6
26.73,17.21,54.21022,11.69,26.5,1.95,39
27,17.18,54.59008,11.51,26.73,1.944,38.8
27,17.21,55.07983,11.99,26.8,1.974,39.4
26.63001,17,54.8899,11.92,26.58,1.95,39
26.99001,17.02,56.4898,12.1,27.2,2.082,41.6
26.63001,17.25,54.02981,11.6,26.8,2.07,41.4
26.93001,17.2,53.56992,11.81,27.13,2.082,41.6
26.93001,17.3,52.44981,12.5,27.2,2.052,41
27.09999,17.3,52.59994,12.34,27.4,2.022,40.4
27.3,17.11,53.00013,11.93,27.08,2.022,40.4
27.33999,17.29,53.55001,11.9,27.28,2.034,40.6
27.33999,17.05,53.3298,11.93,27.25,2.052,41
27.20001,17.05,53.09012,11.96,27.4,2.04,40.8
26.94,17.07,51.88002,11.89,27.2,2.034,40.6
27.09999,17.1,51.7498,11.9,27.24,2.034,40.6
27.20001,17.03,52.42991,12.15,27.5,2.01,40.2
27.21999,16.81,52.85,12.05,27.58,2.01,40.2
27.39999,16.81,52.77991,12.14,28.8,2.094,41.8
27.6,16.68,52.82015,12.11,29.4,2.094,41.8
27.6,16.6,53.15977,12.13,28.93,2.082,41.6
27.81,16.39,52.21013,12.14,28.55,2.142,42.8
26.96001,16.4,52.90019,12.34,27.88,2.79,55.8
26.97999,17,52.78987,12.27,28.48,2.892,57.8
26.82,16.8,52.32997,12.16,29.3,2.772,55.4
26.21001,16.84,52.09981,12.14,29.85,2.73,54.6
26.34999,16.84,52.65012,12.24,31.24,2.904,58
26.70999,17.15,53.14982,12.33,31.45,3.192,63.8
26.91999,17.96,54.50009,12.34,32.66,3.492,69.8
27.50001,18.3,54.95004,12.33,32.57,3.36,67.2
27.6,18.3,54.98984,12,32.66,3.384,67.6
27.59001,18.36,55.45017,11.92,32.45,3.354,67
28.2,18.41,55.04003,11.74,32.75,3.27,65.4
28.04001,18.51,54.4101,11.68,32.81,3.33,66.6
